Gmt time,Open,High,Low,Close,Volume
07.03.2022 00:00:00.000,11.088,11.728,11.087,11.098,1061.02
08.03.2022 00:00:00.000,10.878,11.378,10.707,11.038,1286.09
09.03.2022 00:00:00.000,11.298,12.008,11.257,11.638,868.66
10.03.2022 00:00:00.000,11.298,11.958,11.298,11.858,853.64
11.03.2022 00:00:00.000,11.698,11.998,11.358,11.368,618.66
14.03.2022 00:00:00.000,11.168,11.397,10.408,10.488,931.55
15.03.2022 00:00:00.000,10.438,10.838,10.267,10.767,909.54
16.03.2022 00:00:00.000,10.898,11.798,10.898,11.788,996.83
17.03.2022 00:00:00.000,11.568,12.358,11.568,12.318,672.83
18.03.2022 00:00:00.000,12.198,13.008,12.197,12.818,734.15
21.03.2022 00:00:00.000,12.697,13.038,12.418,12.588,1070.37
22.03.2022 00:00:00.000,12.498,13.458,12.498,13.248,836.36
23.03.2022 00:00:00.000,13.058,13.538,13.007,13.168,1001.23
24.03.2022 00:00:00.000,13.218,13.408,12.817,13.358,800.99
25.03.2022 00:00:00.000,13.288,13.388,12.708,12.958,700.0
28.03.2022 00:00:00.000,13.008,13.428,12.848,13.408,750.614
29.03.2022 00:00:00.000,13.598,14.268,13.348,14.198,997.2
30.03.2022 00:00:00.000,13.998,14.348,13.728,13.878,863.618
31.03.2022 00:00:00.000,13.898,14.048,13.678,13.718,760.186
01.04.2022 00:00:00.000,13.758,14.058,13.498,13.828,736.01
04.04.2022 00:00:00.000,13.898,14.648,13.898,14.618,777.57
05.04.2022 00:00:00.000,14.548,14.848,13.788,13.878,880.24
06.04.2022 00:00:00.000,13.508,13.538,12.848,12.978,1043.44
07.04.2022 00:00:00.000,12.908,13.318,12.478,12.838,904.55
08.04.2022 00:00:00.000,12.697,13.038,12.568,12.698,920.22
11.04.2022 00:00:00.000,12.458,12.808,12.127,12.648,1017.5
12.04.2022 00:00:00.000,12.848,13.188,12.417,12.458,1087.65
13.04.2022 00:00:00.000,12.357,12.928,12.218,12.887,625.33
14.04.2022 00:00:00.000,12.798,12.908,12.408,12.428,676.54
18.04.2022 00:00:00.000,12.258,12.408,11.877,12.138,678.79
19.04.2022 00:00:00.000,12.048,13.008,12.047,12.898,582.616
20.04.2022 00:00:00.000,13.018,13.158,12.738,12.778,847.05
21.04.2022 00:00:00.000,12.958,13.318,12.218,12.317,873.31
22.04.2022 00:00:00.000,12.198,12.718,11.848,11.958,919.44
25.04.2022 00:00:00.000,11.778,12.148,11.678,12.108,1144.442
26.04.2022 00:00:00.000,11.917,12.048,11.098,11.118,627.82
27.04.2022 00:00:00.000,11.008,11.188,10.527,10.558,871.358
28.04.2022 00:00:00.000,10.658,11.038,10.368,10.938,800.09
29.04.2022 00:00:00.000,10.778,11.218,10.358,10.398,883.47
02.05.2022 00:00:00.000,10.378,10.748,10.167,10.738,1014.16
03.05.2022 00:00:00.000,10.678,10.968,10.438,10.538,640.94
04.05.2022 00:00:00.000,10.498,10.998,10.078,10.968,929.104
05.05.2022 00:00:00.000,10.738,10.788,9.977,10.108,626.832
06.05.2022 00:00:00.000,10.028,10.028,9.427,9.458,909.952
09.05.2022 00:00:00.000,7.778,7.818,7.318,7.448,873.7
10.05.2022 00:00:00.000,7.528,7.698,6.928,7.268,836.25
11.05.2022 00:00:00.000,7.218,7.528,6.657,6.708,723.27
12.05.2022 00:00:00.000,6.528,7.368,6.427,7.338,882.87
13.05.2022 00:00:00.000,7.518,8.338,7.518,8.338,598.2
16.05.2022 00:00:00.000,8.058,8.418,8.007,8.028,721.4
17.05.2022 00:00:00.000,8.058,8.448,8.007,8.348,620.26
18.05.2022 00:00:00.000,8.178,8.428,7.917,8.008,595.25
19.05.2022 00:00:00.000,7.837,8.578,7.837,8.288,893.19
20.05.2022 00:00:00.000,8.168,8.388,7.707,8.088,825.75
23.05.2022 00:00:00.000,7.998,8.158,7.797,8.008,653.64
24.05.2022 00:00:00.000,7.848,7.978,7.368,7.548,499.85
25.05.2022 00:00:00.000,7.448,8.008,7.448,7.947,556.75
26.05.2022 00:00:00.000,7.788,8.387,7.788,8.348,408.53
27.05.2022 00:00:00.000,8.488,8.838,8.427,8.828,380.69
31.05.2022 00:00:00.000,8.878,9.088,8.558,8.668,527.24
01.06.2022 00:00:00.000,8.698,8.968,8.377,8.448,574.71
02.06.2022 00:00:00.000,8.458,9.378,8.457,9.298,547.72
03.06.2022 00:00:00.000,9.018,9.238,8.857,8.938,495.71
06.06.2022 00:00:00.000,9.077,9.198,8.778,8.978,555.01
07.06.2022 00:00:00.000,8.807,9.128,8.727,9.118,411.18
08.06.2022 00:00:00.000,9.057,9.408,8.998,9.168,427.03
09.06.2022 00:00:00.000,9.048,9.128,8.668,8.668,440.02
10.06.2022 00:00:00.000,8.358,8.548,8.138,8.257,426.432
13.06.2022 00:00:00.000,7.858,7.988,7.497,7.648,389.39
14.06.2022 00:00:00.000,7.718,7.968,7.578,7.798,327.699
15.06.2022 00:00:00.000,7.818,8.288,7.808,8.108,810.43
16.06.2022 00:00:00.000,7.828,7.978,7.577,7.658,381.0
17.06.2022 00:00:00.000,7.668,8.318,7.668,8.247,423.39
21.06.2022 00:00:00.000,8.508,9.038,8.508,8.698,337.58
22.06.2022 00:00:00.000,8.408,9.278,8.408,8.998,414.63
23.06.2022 00:00:00.000,8.897,9.488,8.837,9.448,521.46
24.06.2022 00:00:00.000,9.528,10.188,9.467,10.178,469.49
27.06.2022 00:00:00.000,10.008,10.148,9.507,9.608,549.69
28.06.2022 00:00:00.000,9.498,9.868,9.178,9.298,541.97
29.06.2022 00:00:00.000,9.268,9.408,9.058,9.207,520.9
30.06.2022 00:00:00.000,8.948,9.178,8.718,9.058,607.21
01.07.2022 00:00:00.000,9.038,9.418,8.998,9.258,699.05
05.07.2022 00:00:00.000,8.997,10.088,8.997,10.068,864.05
06.07.2022 00:00:00.000,9.898,10.298,9.737,9.788,952.17
07.07.2022 00:00:00.000,9.748,10.268,9.747,10.167,397.332
08.07.2022 00:00:00.000,9.888,10.367,9.817,10.148,552.04
11.07.2022 00:00:00.000,9.968,9.978,9.527,9.558,499.92
12.07.2022 00:00:00.000,9.598,9.948,9.268,9.477,644.74
13.07.2022 00:00:00.000,9.148,9.538,9.048,9.268,651.6
14.07.2022 00:00:00.000,9.148,9.268,8.847,8.888,371.58
15.07.2022 00:00:00.000,8.998,9.108,8.647,9.028,363.83
18.07.2022 00:00:00.000,9.178,9.438,8.998,9.008,479.63
19.07.2022 00:00:00.000,9.138,9.358,8.888,9.328,339.66
20.07.2022 00:00:00.000,9.338,10.188,9.338,10.108,483.86
21.07.2022 00:00:00.000,10.228,10.748,10.218,10.458,710.25
22.07.2022 00:00:00.000,10.328,10.558,9.728,9.827,533.76
25.07.2022 00:00:00.000,9.798,9.838,9.517,9.678,513.92
26.07.2022 00:00:00.000,9.638,9.638,9.377,9.387,362.71
27.07.2022 00:00:00.000,9.538,10.008,9.498,10.008,529.76
28.07.2022 00:00:00.000,10.008,10.188,9.738,10.117,394.73
29.07.2022 00:00:00.000,9.998,10.338,9.917,10.338,403.84
01.08.2022 00:00:00.000,10.198,10.688,10.117,10.458,364.6
02.08.2022 00:00:00.000,10.298,11.218,10.258,10.918,679.862
03.08.2022 00:00:00.000,11.078,11.328,11.028,11.128,445.29
04.08.2022 00:00:00.000,11.128,11.398,11.027,11.308,596.42
05.08.2022 00:00:00.000,10.998,11.608,10.838,11.438,594.592
08.08.2022 00:00:00.000,9.768,10.388,9.698,9.808,350.88
09.08.2022 00:00:00.000,9.528,9.558,9.008,9.238,225.4
10.08.2022 00:00:00.000,9.408,9.648,9.337,9.587,329.992
11.08.2022 00:00:00.000,9.758,10.038,9.388,9.388,338.21
12.08.2022 00:00:00.000,9.508,9.958,9.418,9.898,327.08
15.08.2022 00:00:00.000,9.778,10.088,9.757,9.898,285.7
16.08.2022 00:00:00.000,9.828,9.868,9.358,9.728,241.87
17.08.2022 00:00:00.000,9.528,9.608,9.327,9.408,279.82
18.08.2022 00:00:00.000,9.408,9.458,9.118,9.138,197.34
19.08.2022 00:00:00.000,8.998,8.998,8.478,8.507,157.06
22.08.2022 00:00:00.000,8.308,8.388,8.047,8.068,229.14
23.08.2022 00:00:00.000,8.087,8.268,7.998,7.998,198.23
24.08.2022 00:00:00.000,8.028,8.348,7.978,8.088,198.9
25.08.2022 00:00:00.000,8.218,8.418,8.047,8.418,195.04
26.08.2022 00:00:00.000,8.378,8.428,7.928,7.928,305.702
29.08.2022 00:00:00.000,7.778,7.987,7.748,7.798,235.982
30.08.2022 00:00:00.000,7.908,7.968,7.678,7.787,250.98
